group,role,price_band,avg_price_no,avg_price_yes,n_trades_no,n_trades_yes,net_mean_pp_no,net_mean_pp_yes,win_rate_no,win_rate_yes,combined_net_mean_pp
World Events,maker,"[0.40,0.60)",0.4834929919434931,0.506061915046802,18122.0,18057.0,12.01258139278237,-15.254638090491712,0.6136188058713167,0.363515534141884,-1.5965339008819135
World Events,maker,"[0.60,0.80)",0.7094006031666266,0.6733899260302914,23874.0,14195.0,10.626748764346122,-25.4365621697779,0.8256680908100863,0.4290243043325114,-2.820378785888729
World Events,maker,"[0.80,0.95)",0.8817556095670874,0.8852482927240507,28389.0,11861.0,2.226038254253452,-13.333951606103987,0.91401599210962,0.7619087766630133,-2.35922981366455
World Events,maker,"[0.95,1]",0.9705440395665192,0.9712943632567912,13749.0,3832.0,-0.4109389773802379,-2.6440501043841285,0.9764346497927122,0.9548538622129435,-0.89767362493606
World Events,taker,"[0,0.05)",0.0238545338032681,0.0245646105357946,3121.0,11105.0,-2.584428067926932,-0.6469158036920145,0.0080102531239987,0.0280954524988743,-1.0719808800787132
World Events,taker,"[0.05,0.20)",0.1088270799347469,0.1076036991704069,12260.0,29412.0,11.077324632952704,-4.281687746498076,0.2304241435562805,0.0755813953488372,0.236969667882481
World Events,taker,"[0.20,0.40)",0.3187572658376884,0.2812093380805939,13591.0,24716.0,24.16268118607904,-13.427294060527515,0.5803840776984769,0.1669363974753196,-0.09068838593462934
World Events,taker,"[0.40,0.60)",0.4851220847476195,0.5050002846245791,18266.0,17567.0,11.723639548888428,-13.119371548926797,0.622358480236505,0.3938065691353105,-0.4555577261184101
World Events,taker,"[0.60,0.80)",0.7008749269812422,0.6800586716733175,15407.0,17044.0,0.4509638476017537,-27.592114527106265,0.7253845654572597,0.424137526402253,-14.277895904594587
World Events,taker,"[0.80,0.95)",0.8802023035149468,0.880589628226379,16757.0,8446.0,0.3271468639971167,-23.275633435946048,0.8950886196813272,0.6593653800615676,-7.5825893742808645
World Events,taker,"[0.95,1]",0.9727921747967508,0.9686517295597478,7872.0,2544.0,-1.226371951219508,-8.87146226415094,0.9705284552845528,0.889937106918239,-3.093605990783406
