group,role,price_band,n_trades,n_prefixes,avg_price,win_rate,net_mean_pp,net_se_pp,net_ci_low_pp,net_ci_high_pp,pass_gate,largest_prefix,largest_share,n_without,net_mean_pp_without,net_ci_low_pp_without,net_ci_high_pp_without,pass_loco,top3_prefixes,top3_share_of_abs_pnl,domain_top5
World Events,maker,"[0.95,1]",17581,23,0.9707075820488131,0.9717308457994426,-0.8976736249360113,0.1256515383816831,-1.1439506401641102,-0.6513966097079124,False,KXNEXTPOPE,0.346169159888516,11495,0.3318834275772121,0.09240216953607747,0.5713646856183467,True,"['KXNEXTPOPE', 'KXNOBELPEACE', 'KXEPSTEIN']",0.9180495947152681,"[('KXNEXTPOPE', 0.3462), ('KXNOBELPEACE', 0.24), ('KXLAGODAYS', 0.1289), ('KXEPSTEINBILL', 0.089), ('KXEPSTEIN', 0.0367)]"
World Events,taker,"[0,0.05)",14226,23,0.02440882890482202,0.023689020104034866,-1.0719808800787176,0.1287798167824702,-1.324389320972359,-0.8195724391850759,False,KXNEXTPOPE,0.36102910164487556,9090,-3.1215621562156013,-3.2665193533025745,-2.9766049591286285,False,"['KXNEXTPOPE', 'KXNOBELPEACE', 'KXEPSTEINBILL']",0.9011243223005883,"[('KXNEXTPOPE', 0.361), ('KXNOBELPEACE', 0.2176), ('KXLAGODAYS', 0.1416), ('KXEPSTEINBILL', 0.1099), ('KXOTEEPSTEIN', 0.0307)]"
Other,taker,"[0.95,1]",83925,1221,0.9750360440869827,0.9736193029490616,-1.1416741137920732,0.05553957921997255,-1.2505316890632194,-1.032816538520927,False,KXFANATICSGAMESFIRSTPLACE,0.0842299672326482,76856,-1.2800692203601505,-1.3986553231037637,-1.1614831176165372,False,"['KXFL1MOV', 'KXDJTFRENCHREP', 'KXTHELASTOFUSS2']",0.14508855043192992,"[('KXFANATICSGAMESFIRSTPLACE', 0.0842), ('KXELONTWEETS', 0.0267), ('KXWHVISIT', 0.0198), ('KXCANCONSEATS', 0.0187), ('KXALBUMSALESSWIFT', 0.0154)]"
Science/Tech,maker,"[0,0.05)",8467,60,0.02442187315460014,0.021140899964568326,-1.3280973190031842,0.15491125687586502,-1.6317233824798796,-1.0244712555264888,False,KXLLM1,0.4300224400614149,4826,-0.4506837961044318,-0.9161280944440522,0.014760502235188454,False,"['KXLLM1', 'KXMCCLAIROBSCUR', 'KXSPACEXSTARSHIP']",0.4886208370094708,"[('KXLLM1', 0.43), ('KXSPACEXSTARSHIP', 0.1842), ('LLM1', 0.0529), ('KXAPPLEMENTION', 0.0484), ('KXTWITCHSUBSKAICENAT', 0.0318)]"
World Events,maker,"[0.40,0.60)",36179,20,0.49475717957931387,0.4887918405704967,-1.5965339008817736,0.2667398101095927,-2.119343928696575,-1.073723873066972,False,KXEPSTEIN,0.5464219574891511,16410,0.3843388177940317,-0.36941737287319243,1.1380950084612558,False,"['KXEPSTEINBILL', 'KXOTEEPSTEIN', 'KXEPSTEINLIST']",0.5511175060343678,"[('KXEPSTEIN', 0.5464), ('KXOTEEPSTEIN', 0.1024), ('KXEPSTEINBILL', 0.0905), ('KXEPSTEINLIST', 0.0885), ('KXLAGODAYS', 0.075)]"
Science/Tech,taker,"[0.60,0.80)",27583,53,0.6990465141572714,0.7021353732371388,-1.6911140920131968,0.27620226046070273,-2.2324705225161745,-1.1497576615102194,False,KXLLM1,0.2710365079940543,20107,-6.765206147112941,-7.427863031358063,-6.10254926286782,False,"['KXCEOASTRONOMER', 'KXLLM1', 'KXSPACEXSTARSHIP']",0.5869007038419255,"[('KXLLM1', 0.271), ('KXSPACEXSTARSHIP', 0.2123), ('KXCEOASTRONOMER', 0.0695), ('KXAPPLEMENTION', 0.0665), ('LLM1', 0.0626)]"
Other,taker,"[0.80,0.95)",141448,1162,0.8730839601832476,0.8673364063118602,-1.7538105876364531,0.08954720900997154,-1.9293231172959975,-1.5782980579769088,False,KXELONTWEETS,0.037540297494485605,136138,-1.688646814262005,-1.8670500941811399,-1.5102435343428702,False,"['KXJREPODCAST', 'KXALBUMSALESSWIFT', 'KXMEDIARELEASEJIMMYKIMMEL']",0.11721635675585028,"[('KXELONTWEETS', 0.0375), ('KXWHVISIT', 0.0319), ('ADAMS', 0.0172), ('KXASIACUPCRICKET', 0.0156), ('KXALEAGUEGAME', 0.0134)]"
Entertainment,taker,"[0.95,1]",117257,394,0.9732700819567296,0.9656054649189387,-1.766461703778869,0.05304489466619767,-1.8704296973246164,-1.6624937102331216,False,KXSPOTIFYD,0.18609549962902003,95436,-1.7119430822750275,-1.8270147697373678,-1.5968713948126874,False,"['KXSPOTIFYD', 'KXRTALIENEARTH', 'KXKIMMELMENTION']",0.30935862129303937,"[('KXSPOTIFYD', 0.1861), ('KXAPPRANKFREE', 0.0746), ('KXSNFMENTION', 0.0299), ('KXTNFMENTION', 0.0252), ('KXOSCARPIC', 0.0224)]"
Weather,taker,"[0.95,1]",373548,35,0.9738939306326901,0.9661462516196044,-1.7747679013138593,0.02946128738209754,-1.8325120245827706,-1.717023778044948,False,KXHIGHNY,0.21712336834891366,292442,-1.9041245785488787,-1.9707391941007242,-1.837509962997033,False,"['KXHIGHCHI', 'KXHIGHNY', 'KXHIGHAUS']",0.5121987787684816,"[('KXHIGHNY', 0.2171), ('KXHIGHAUS', 0.1499), ('KXHIGHCHI', 0.1323), ('KXHIGHLAX', 0.1305), ('KXHIGHDEN', 0.1272)]"
Weather,taker,"[0,0.05)",251774,36,0.018405157005886432,0.010636523231151747,-1.7768633774734512,0.020363959988035862,-1.8167767390500016,-1.7369500158969007,False,KXHIGHNY,0.21628126812141046,197320,-1.801495033448207,-1.8457315200556033,-1.7572585468408106,False,"['KXHIGHCHI', 'KXHIGHAUS', 'KXHIGHLAX']",0.570945907818069,"[('KXHIGHNY', 0.2163), ('KXHIGHLAX', 0.1457), ('KXHIGHAUS', 0.1353), ('KXHIGHMIA', 0.1305), ('KXHIGHCHI', 0.1298)]"
