group,role,side,price_band,n_trades,n_contracts,avg_price,win_rate,avg_fee_per_contract,gross_mean_pp,gross_ci_low_pp,gross_ci_high_pp,net_mean_pp,net_se_pp,net_ci_low_pp,net_ci_high_pp,z_net
Weather,maker,no,"[0.20,0.40)",241945,9479726,0.3037032796709969,0.3642108743722747,0.010000000000000165,6.050759470127563,5.860188247033269,6.241330693221857,5.05075947012754,0.0972302158644359,4.860188247033246,5.241330693221834,51.94639778615329
Other,maker,yes,"[0.80,0.95)",49583,4792861,0.8691702801363369,0.9211221588044289,0.009999999999999952,5.1951878668091895,4.96053872771468,5.429837005903699,4.195187866809192,0.11971894851760684,3.9605387277146824,4.4298370059037016,35.04197053812425
World Events,maker,no,"[0,0.05)",1939,806470,0.025528623001547183,0.073749355337803,0.009999999999999993,4.822073233625581,3.6662090383462282,5.977937428904932,3.822073233625587,0.5897266302445678,2.6662090383462345,4.97793742890494,6.481093166914508
Media,taker,no,"[0.80,0.95)",23165,1396034,0.8687761709475503,0.9188862508094108,0.012012518886250774,5.011007986186056,4.658333121745308,5.3636828506268035,3.809756097560975,0.17973689269401635,3.4574717878807024,4.162040407241247,21.19629443047452
Science/Tech,maker,no,"[0.80,0.95)",15152,1591496,0.8819640971488906,0.9264783526927138,0.009999999999999922,4.451425554382253,4.041388231946683,4.861462876817825,3.451425554382248,0.20920271552835276,3.041388231946677,3.861462876817819,16.49799595414183
Media,maker,no,"[0,0.05)",12438,2136449,0.021927962694967038,0.06544460524200033,0.010000000000000004,4.35166425470333,3.9143071943597785,4.789021315046882,3.3516642547033313,0.22314135731813867,2.91430719435978,3.789021315046883,15.020363302374166
Other,maker,no,"[0.20,0.40)",85810,5724648,0.29817841743386553,0.3404847919822864,0.009999999999999964,4.230637454842087,3.9160170848873195,4.545257824796855,3.2306374548420917,0.1605205969156979,2.9160170848873244,3.5452578247968596,20.125999509824624
Other,maker,no,"[0.60,0.80)",126487,7987078,0.6981168815767628,0.7395463565425696,0.009999999999999938,4.14294749658068,3.9014906930612145,4.3844043001001465,3.1429474965806823,0.123192246693605,2.9014906930612163,3.3844043001001483,25.512543044998583
Weather,maker,no,"[0.05,0.20)",122206,7293429,0.1184881266058954,0.15736543213917484,0.010000000000000162,3.887730553327975,3.685943627060241,4.089517479595709,2.887730553327989,0.1029525134019048,2.6859436270602557,3.0895174795957225,28.04915060261716
Entertainment,maker,no,"[0.60,0.80)",145307,10794587,0.6979837172331694,0.7329653767540449,0.009999999999999934,3.4981659520876405,3.271898924796176,3.7244329793791047,2.4981659520876285,0.11544236086299192,2.2718989247961647,2.7244329793790927,21.63994164198076
World Events,maker,no,"[0.80,0.95)",28389,7428810,0.8817556095670874,0.9140159921096199,0.009999999999999993,3.226038254253427,2.905147647120022,3.546928861386832,2.226038254253452,0.16371969751704343,1.9051476471200468,2.546928861386857,13.596642847582336
Other,maker,yes,"[0.40,0.60)",65554,4151459,0.49094654788418707,0.5224242609146658,0.009999999999999969,3.1477713030478687,2.7681850638673,3.5273575422284376,2.147771303047872,0.1936664485615147,1.768185063867303,2.5273575422284407,11.090053641199862
Entertainment,taker,no,"[0.40,0.60)",87062,6798256,0.4916984447864739,0.5312421033286623,0.019999999999999903,3.954365854218832,3.6248893084559435,4.283842399981721,1.9543658542188294,0.1681002784504533,1.6248893084559408,2.283842399981718,11.626190463419539
Science/Tech,maker,no,"[0.05,0.20)",10387,888804,0.11346009434870506,0.14007894483488978,0.00999999999999992,2.661885048618431,2.0025261038086906,3.3212439934281717,1.6618850486184629,0.336407624902929,1.0025261038087219,2.3212439934282036,4.940093284443248
Entertainment,maker,yes,"[0.80,0.95)",79641,8350213,0.8758732311246717,0.9014075664544644,0.009999999999999924,2.553433532979244,2.3488728288739704,2.757994237084517,1.5534335329792455,0.10436770617615979,1.3488728288739724,1.7579942370845185,14.884235650031838
Entertainment,maker,no,"[0.05,0.20)",106389,10492557,0.11475331096259966,0.13886774008591113,0.010000000000000033,2.4114429123311574,2.2054491346713787,2.6174366899909365,1.4114429123311703,0.10509886615294836,1.2054491346713916,1.617436689990949,13.429668311331964
Weather,maker,no,"[0.40,0.60)",467980,14939915,0.5011814393777537,0.5231997093892902,0.010000000000000517,2.2018270011539407,2.0594842566178486,2.344169745690033,1.2018270011538943,0.07262384925310819,1.0594842566178022,1.3441697456899864,16.54865465703001
Media,maker,yes,"[0.80,0.95)",18275,1481838,0.870508344733242,0.892311901504788,0.009999999999999969,2.180355677154585,1.7398632932548188,2.620848061054351,1.1803556771545851,0.22474101219375833,0.7398632932548188,1.6208480610543516,5.252070664062653
Media,maker,no,"[0.95,1]",24562,5123148,0.977682192003909,0.9975164888852699,0.009999999999999972,1.9834296881361437,1.918972635411945,2.0478867408603425,0.9834296881361488,0.032886251389897356,0.91897263541195,1.0478867408603476,29.9039764817421
Entertainment,maker,yes,"[0.95,1]",48967,14704895,0.9729709804562292,0.9924234688667878,0.009999999999999941,1.945248841056218,1.8679852834442707,2.022512398668166,0.9452488410562306,0.03942018245507529,0.867985283444283,1.0225123986681783,23.978804312574443
Other,maker,no,"[0.40,0.60)",98753,6523060,0.4983365568640952,0.5175437708221522,0.009999999999999957,1.9207213958056917,1.6114856090451286,2.2299571825662547,0.9207213958057014,0.15777336059212405,0.6114856090451383,1.2299571825662647,5.83572152073221
Other,maker,yes,"[0.95,1]",25225,6594512,0.9751008919722496,0.9940931615460852,0.009999999999999986,1.8992269573835485,1.804747369741864,1.9937065450252331,0.8992269573835519,0.04820387124575746,0.8047473697418672,0.9937065450252364,18.6546626680465
Other,maker,yes,"[0.60,0.80)",62091,4136907,0.6934966420254142,0.7123898793706012,0.009999999999999972,1.889323734518691,1.536498875606874,2.242148593430508,0.889323734518686,0.18001268311827404,0.5364988756068689,1.2421485934305032,4.940339308949537
Other,maker,no,"[0.80,0.95)",112185,9908934,0.8722794491242143,0.8909479876988903,0.009999999999999955,1.866853857467567,1.686485543153289,2.047222171781845,0.8668538574675727,0.0920246501603459,0.6864855431532948,1.0472221717818506,9.41980062903957
Weather,maker,yes,"[0.80,0.95)",72987,4929097,0.868397385835833,0.8850617233205913,0.009999999999999927,1.6664337484757614,1.4380470413046333,1.8948204556468895,0.666433748475752,0.11652383018935111,0.43804704130462385,0.8948204556468801,5.719291473622158
Entertainment,maker,no,"[0.80,0.95)",152529,16794385,0.8769211756452882,0.892905611391932,0.009999999999999922,1.5984435746644903,1.4454008479744473,1.7514863013545334,0.5984435746644882,0.07808302382145049,0.44540084797444524,0.7514863013545312,7.6641956903836945
Science/Tech,taker,no,"[0.80,0.95)",9983,982122,0.8741851146949811,0.8918160873484925,0.0119122508264048,1.7630972653511001,1.1620091262602557,2.3641854044419444,0.5718721827106231,0.3068555112801446,-0.02956461939846028,1.1733089848197065,1.8636529626757488
Other,maker,no,"[0,0.05)",22484,5359306,0.021485945561288022,0.03642590286425903,0.009999999999999993,1.4939957302971014,1.2479457211771487,1.7400457394170536,0.49399573029710103,0.1255357189387512,0.24794572117714866,0.7400457394170534,3.9351009774207864
Science/Tech,maker,no,"[0.95,1]",9276,1915351,0.9703244933160907,0.985015092712376,0.00999999999999991,1.469059939629154,1.2218033759261642,1.7163165033321441,0.46905993962915915,0.1261513080117296,0.22180337592616917,0.7163165033321492,3.7182328667218085
World Events,taker,no,"[0.60,0.80)",15407,1372536,0.7008749269812422,0.7253845654572597,0.01999999999999979,2.450963847601752,1.7520045265391422,3.149923168664362,0.4509638476017537,0.3566118985013319,-0.2479954734608568,1.149923168664364,1.2645788026056832
Weather,maker,no,"[0.80,0.95)",420745,23237809,0.8709065348370193,0.8854151564486803,0.010000000000000404,1.4508621611664807,1.3553980965408938,1.5463262257920674,0.4508621611665103,0.04870615542121777,0.35539809654092347,0.5463262257920971,9.256779913491222
Other,taker,no,"[0.60,0.80)",86618,5429753,0.7015455217160406,0.7258652935879378,0.019999999999999907,2.431977187189735,2.135836772265641,2.728117602113829,0.4319771871897386,0.15109204843066015,0.1358367722656447,0.7281176021138325,2.859033229587747
Entertainment,maker,no,"[0.95,1]",107000,32142881,0.9742299065420614,0.9880093457943925,0.009999999999999924,1.3779439252336438,1.312927547225342,1.4429603032419458,0.37794392523365056,0.033171621432807004,0.3129275472253488,0.44296030324195224,11.393592140173798
